scenario,frame,robot_r,robot_c,goal_r,goal_c,nodes_expanded,max_queue_size,time_ms,path_cost,path_length,success,action,pedestrians_count,max_occupancy,coverage,replan_triggered,cells_changed,km_value
BR-06,168,6,7,6,7,2,3,0.06799999391660094,1.0,1,True,ADVANCE,9,1000.0,10.420841683366733,True,866,0.0
BR-06,169,6,6,6,6,2,3,0.08099997648969293,1.0,1,True,ADVANCE,9,1800.7374029168082,10.487641950567802,True,861,0.0
BR-06,170,6,5,6,5,2,3,0.06389996269717813,1.0,1,True,ADVANCE,10,1641.1803884299545,10.554442217768871,True,865,0.0
BR-06,171,6,5,7,5,1,1,0.04900002386420965,-1.0,0,False,WAIT,4,1000.0,10.554442217768871,True,658,0.0
BR-06,172,7,5,7,5,1,4,15.195600048173219,1.0,1,True,ADVANCE,13,1800.7374029168082,10.62124248496994,True,821,0.0
BR-06,173,7,4,7,4,2,3,0.2245000214315951,1.0,1,True,ADVANCE,8,1800.7374029168082,10.68804275217101,True,864,0.0
BR-06,174,7,3,7,3,2,3,0.0724999699741602,1.0,1,True,ADVANCE,8,1000.0,10.754843019372078,True,730,0.0
BR-06,175,7,3,7,2,1,1,0.04850002005696297,-1.0,0,False,WAIT,6,1129.9303907247136,10.754843019372078,True,688,0.0
BR-06,176,7,2,7,2,1,4,13.486600015312433,1.0,1,True,ADVANCE,11,1453.661419803784,10.821643286573146,True,720,0.0
BR-06,177,7,1,7,1,2,3,0.2142000012099743,1.0,1,True,ADVANCE,3,1000.0,10.888443553774215,True,668,0.0
BR-06,178,7,0,7,0,2,2,0.08579995483160019,1.0,1,True,ADVANCE,9,1000.0,10.955243820975284,True,652,0.0
BR-06,179,8,0,8,0,2,2,0.06230000872164965,1.0,1,True,ADVANCE,11,1000.0,11.022044088176353,True,870,0.0
BR-06,180,8,1,8,1,2,3,0.059699988923966885,1.0,1,True,ADVANCE,6,1800.7374029168082,11.088844355377422,True,788,0.0
BR-06,181,8,2,8,2,2,3,0.06160000339150429,1.0,1,True,ADVANCE,5,1000.0,11.15564462257849,True,485,0.0
BR-06,182,8,3,8,3,2,3,0.089899986051023,1.0,1,True,ADVANCE,13,1441.9177913467624,11.22244488977956,True,842,0.0
BR-06,183,9,3,9,3,2,3,0.07000000914558768,1.0,1,True,ADVANCE,14,1067.381626734864,11.289245156980627,True,1031,0.0
BR-06,184,9,2,9,2,2,3,0.07129996083676815,1.0,1,True,ADVANCE,13,1800.7374029168082,11.356045424181696,True,895,0.0
BR-06,185,9,1,9,1,2,3,0.0982999918051064,1.0,1,True,ADVANCE,9,1282.360776859909,11.422845691382765,True,840,0.0
BR-06,186,9,0,9,0,2,2,0.06729998858645558,1.0,1,True,ADVANCE,5,1000.0,11.489645958583834,True,675,0.0
BR-06,187,10,0,10,0,2,2,0.05760003114119172,1.0,1,True,ADVANCE,11,1800.7374029168082,11.556446225784903,True,695,0.0
BR-06,188,10,1,10,1,2,3,0.06049999501556158,1.0,1,True,ADVANCE,8,1000.0,11.623246492985972,True,760,0.0
BR-06,189,10,2,10,2,2,3,0.0706000137142837,1.0,1,True,ADVANCE,10,1800.7374029168082,11.690046760187041,True,866,0.0
BR-06,190,10,3,10,3,2,3,0.0640999642200768,1.0,1,True,ADVANCE,8,1000.0,11.75684702738811,True,805,0.0
BR-06,191,10,4,10,4,2,3,0.0651999725960195,1.0,1,True,ADVANCE,7,1441.9177913467624,11.823647294589177,True,684,0.0
BR-06,192,9,4,9,4,2,3,0.06490002851933241,1.0,1,True,ADVANCE,13,1441.9177913467624,11.890447561790248,True,802,0.0
BR-06,193,9,5,9,5,2,3,0.06849999772384763,1.0,1,True,ADVANCE,14,1800.7374029168082,11.957247828991315,True,966,0.0
BR-06,194,8,5,8,5,2,3,0.07050001295283437,1.0,1,True,ADVANCE,5,1000.0,12.024048096192384,True,853,0.0
BR-06,195,8,6,8,6,2,3,0.07090001599863172,1.0,1,True,ADVANCE,8,1641.1803884299545,12.090848363393453,True,667,0.0
